U,sigma_U,TI
13.9533,0.512651,0.036740484329871786
12.6167,0.716332,0.05677649464598508
10.8131,1.03271,0.09550545172059816
11.824,0.512099,0.04331013193504736
12.0287,0.763185,0.06344700591086318
13.4649,0.545943,0.0405456408885324
14.1956,0.47506,0.033465299106765475
14.5471,0.562168,0.038644678320764965
14.6237,0.515326,0.035239098176248145
14.4764,0.343059,0.023697811610621424
13.8575,0.27136,0.019582175717120693
13.5252,0.228137,0.016867550941945406
13.0089,0.263887,0.02028511249990391
12.5045,0.251864,0.02014186892718621
12.1954,0.254514,0.020869672171474493
11.7082,0.181797,0.015527322731077363
11.677,0.15363,0.013156632696754303
11.6983,0.169258,0.01446859800141901
11.7451,0.237173,0.0201933572298235
11.739,0.311989,0.02657713604225232
12.1235,0.194692,0.016059058852641563
12.4454,0.277144,0.022268790075047812
12.7258,0.178517,0.014027958949535591
12.2339,0.146145,0.011945904413147074
12.2738,0.177667,0.014475305121478271
12.1659,0.16951,0.013933206750014384
11.9557,0.193767,0.016207081141212977
11.7804,0.182648,0.015504397134222947
11.3084,0.179824,0.0159018075059248
11.2551,0.215795,0.01917308597880072
11.1169,0.213148,0.019173330694708057
11.0979,0.194572,0.017532325935537354
11.4458,0.254052,0.02219608939523668
12.128,0.271053,0.02234935686015831
